Coluna;CBO Ocupação 2002
Município;PRODUTOR DA CULTURA DE DENDE;PRODUTOR DA CULTURA DE MAMONA;PRODUTOR DA CULTURA DE SOJA;TRABALHADOR NA CULTURA DE DENDE;TRABALHADOR NA CULTURA DE MAMONA;TRABALHADOR NA CULTURA DE SOJA;TRABALHADOR NA CULTURA DO GIRASSOL;Total
RS-AUGUSTO PESTANA;0;0;0;0;0;9061,90000000224;0;9061,90000000224
RS-BAGE;0;0;0;0;0;5794,12999999896;0;5794,12999999896
RS-BARRACAO;0;0;0;0;0;2476,55000000075;0;2476,55000000075
RS-BOA VISTA DAS MISSOES;0;0;0;0;0;2636,25999999978;0;2636,25999999978
RS-BOA VISTA DO CADEADO;0;0;0;0;0;12632,7599999998;0;12632,7599999998
RS-BOA VISTA DO INCRA;0;0;0;0;0;2479,23000000045;0;2479,23000000045
RS-BOM PROGRESSO;0;0;0;0;0;6205,87999999989;0;6205,87999999989
RS-BOSSOROCA;0;0;0;0;0;3551,80999999866;0;3551,80999999866
RS-BOZANO;0;0;0;0;0;1007;0;1007
RS-CACAPAVA DO SUL;0;0;0;0;0;3896,09999999963;0;3896,09999999963
RS-CACEQUI;0;0;0;0;0;2396,83000000007;0;2396,83000000007
RS-CACHOEIRA DO SUL;0;0;0;0;0;27465,6099999975;0;27465,6099999975
RS-CAIBATE;0;0;0;0;0;8080,41000000201;0;8080,41000000201
RS-CAMAQUA;0;0;1580,1799999997;0;0;1756,56000000052;0;3336,74000000022
RS-CAMPINAS DO SUL;0;0;0;0;0;2051,39999999851;0;2051,39999999851
RS-CAMPO NOVO;0;0;0;0;0;1363,3599999994;0;1363,3599999994
RS-CAMPOS BORGES;0;0;0;0;0;3901,66999999993;0;3901,66999999993
RS-CANDELARIA;0;0;0;0;0;1317,80000000075;0;1317,80000000075
RS-CANDIOTA;0;0;0;0;0;1310,59999999963;0;1310,59999999963
RS-CANGUCU;0;0;0;0;0;35682,1200000057;0;35682,1200000057
RS-CAPAO BONITO DO SUL;0;0;0;0;0;4318,01999999955;0;4318,01999999955
RS-CAPAO DO CIPO;0;0;0;0;0;1256,72000000067;0;1256,72000000067
RS-CARAZINHO;0;0;1990,83000000007;0;0;47519,4499999993;0;49510,2799999993
RS-CATUIPE;0;0;0;0;0;8563,30000000075;0;8563,30000000075
RS-CHARRUA;0;0;0;0;0;1272,71000000089;0;1272,71000000089
RS-CONDOR;0;0;0;0;0;12291,6799999997;0;12291,6799999997
RS-CORONEL BARROS;0;0;0;0;0;4784,05000000075;0;4784,05000000075
RS-CORONEL BICACO;0;0;0;0;0;5684,21000000089;0;5684,21000000089
RS-COXILHA;0;0;0;0;0;41807,9399999976;0;41807,9399999976
RS-CRUZ ALTA;0;0;0;0;0;8331,8900000006;0;8331,8900000006
RS-DOIS IRMAOS DAS MISSOES;0;0;0;0;0;17421,9200000055;0;17421,9200000055
RS-DOM PEDRITO;0;0;0;0;0;4834,17000000179;0;4834,17000000179
RS-ENTRE-IJUIS;0;0;0;0;0;1222,30000000075;0;1222,30000000075
RS-ESMERALDA;0;0;0;0;0;1293,66999999993;0;1293,66999999993
RS-ESPUMOSO;0;0;0;0;0;10038,4799999986;0;10038,4799999986
RS-ESTACAO;0;0;0;0;0;5963,50999999791;0;5963,50999999791
RS-FAXINAL DO SOTURNO;0;0;0;0;0;523,839999999851;0;523,839999999851
RS-FORTALEZA DOS VALOS;0;0;0;0;0;6515,15000000037;0;6515,15000000037
RS-GETULIO VARGAS;0;0;0;0;0;1006,87999999989;0;1006,87999999989
RS-IBIACA;0;0;0;0;0;788;0;788
RS-IBIRAPUITA;0;0;0;0;0;1400,59999999963;0;1400,59999999963
RS-IBIRUBA;0;0;0;0;0;19598,2400000012;0;19598,2400000012
RS-IJUI;0;0;0;0;0;12469,9800000023;0;12469,9800000023
RS-INDEPENDENCIA;0;0;0;0;0;14813,6700000027;0;14813,6700000027
RS-IPIRANGA DO SUL;0;0;0;0;0;1159,6400000006;0;1159,6400000006
RS-ITAARA;0;0;0;0;0;10459,1199999992;0;10459,1199999992
RS-JACUTINGA;0;0;0;0;0;1342,08000000007;0;1342,08000000007
RS-JAGUARAO;0;0;1649,19999999925;0;0;24720,2899999991;0;26369,4899999984
RS-JARI;0;0;0;0;0;2101,96000000089;0;2101,96000000089
RS-JOIA;0;0;0;0;0;46028;0;46028
RS-JULIO DE CASTILHOS;0;0;0;0;0;20687,8099999987;0;20687,8099999987
RS-LAGOA BONITA DO SUL;0;0;0;0;0;1374,00999999978;0;1374,00999999978
RS-LAGOA VERMELHA;0;0;0;0;0;8191,54999999888;0;8191,54999999888
RS-MACAMBARA;0;0;0;0;0;1314,01999999955;0;1314,01999999955
RS-MANOEL VIANA;0;0;0;0;0;2208,97000000067;0;2208,97000000067
RS-MATA;0;0;0;0;0;1231,44999999925;0;1231,44999999925
RS-MINAS DO LEAO;0;0;0;0;0;1586,84999999963;0;1586,84999999963
RS-MUITOS CAPOES;0;0;0;0;0;1809,3900000006;0;1809,3900000006
RS-NAO-ME-TOQUE;0;0;0;0;0;55430,0599999968;0;55430,0599999968
RS-NICOLAU VERGUEIRO;0;0;0;0;0;3436,63999999873;0;3436,63999999873
RS-NOVA RAMADA;0;0;1477,91000000015;0;0;2394,51999999955;0;3872,4299999997
RS-NOVO BARREIRO;0;0;0;0;0;1006,87999999989;0;1006,87999999989
RS-PALMEIRA DAS MISSOES;0;0;3956,6400000006;0;0;28596,339999998;0;32552,9799999986
