"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"Total";"Estado";"Mun";"chave";"ano"
"PA-BRAGANCA";0;0;0;117469.379999995;0;0;0;117469.379999995;"PA";"BRAGANCA";"BRAGANCA (PA)";2015
"PA-BRASIL NOVO";0;0;0;0;0;0;0;0;"PA";"BRASIL NOVO";"BRASIL NOVO (PA)";2015
"PA-BREJO GRANDE DO ARAGUAIA";0;0;0;0;0;0;0;0;"PA";"BREJO GRANDE DO ARAGUAIA";"BREJO GRANDE DO ARAGUAIA (PA)";2015
"PA-BREU BRANCO";0;0;0;0;0;0;0;0;"PA";"BREU BRANCO";"BREU BRANCO (PA)";2015
"PA-BREVES";0;0;0;0;0;0;0;0;"PA";"BREVES";"BREVES (PA)";2015
"PA-BUJARU";0;0;0;0;0;0;0;0;"PA";"BUJARU";"BUJARU (PA)";2015
"PA-CACHOEIRA DO PIRIA";0;0;0;0;0;0;0;0;"PA";"CACHOEIRA DO PIRIA";"CACHOEIRA DO PIRIA (PA)";2015
"PA-CACHOEIRA DO ARARI";0;0;0;0;0;0;0;0;"PA";"CACHOEIRA DO ARARI";"CACHOEIRA DO ARARI (PA)";2015
"PA-CAMETA";0;0;0;0;0;0;0;0;"PA";"CAMETA";"CAMETA (PA)";2015
"PA-CANAA DOS CARAJAS";0;0;0;0;0;0;0;0;"PA";"CANAA DOS CARAJAS";"CANAA DOS CARAJAS (PA)";2015
"PA-CAPANEMA";0;0;0;0;0;0;0;0;"PA";"CAPANEMA";"CAPANEMA (PA)";2015
"PA-CAPITAO POCO";0;0;0;0;0;0;0;0;"PA";"CAPITAO POCO";"CAPITAO POCO (PA)";2015
"PA-CASTANHAL";0;0;0;23687.2399999974;0;0;0;23687.2399999974;"PA";"CASTANHAL";"CASTANHAL (PA)";2015
"PA-CHAVES";0;0;0;0;0;0;0;0;"PA";"CHAVES";"CHAVES (PA)";2015
"PA-COLARES";0;0;0;0;0;0;0;0;"PA";"COLARES";"COLARES (PA)";2015
"PA-CONCEICAO DO ARAGUAIA";0;0;0;0;0;0;0;0;"PA";"CONCEICAO DO ARAGUAIA";"CONCEICAO DO ARAGUAIA (PA)";2015
"PA-CONCORDIA DO PARA";0;0;0;677605.339999997;0;0;0;677605.339999997;"PA";"CONCORDIA DO PARA";"CONCORDIA DO PARA (PA)";2015
"PA-CUMARU DO NORTE";0;0;0;0;0;7507.89999999944;0;7507.89999999944;"PA";"CUMARU DO NORTE";"CUMARU DO NORTE (PA)";2015
"PA-CURIONOPOLIS";0;0;0;0;0;0;0;0;"PA";"CURIONOPOLIS";"CURIONOPOLIS (PA)";2015
"PA-CURRALINHO";0;0;0;0;0;0;0;0;"PA";"CURRALINHO";"CURRALINHO (PA)";2015
"PA-CURUA";0;0;0;0;0;0;0;0;"PA";"CURUA";"CURUA (PA)";2015
"PA-CURUCA";0;0;0;0;0;0;0;0;"PA";"CURUCA";"CURUCA (PA)";2015
"PA-DOM ELISEU";0;0;0;0;0;0;0;0;"PA";"DOM ELISEU";"DOM ELISEU (PA)";2015
"PA-ELDORADO DO CARAJAS";0;0;0;0;0;0;0;0;"PA";"ELDORADO DO CARAJAS";"ELDORADO DO CARAJAS (PA)";2015
"PA-FARO";0;0;0;0;0;0;0;0;"PA";"FARO";"FARO (PA)";2015
"PA-FLORESTA DO ARAGUAIA";0;0;0;0;0;0;0;0;"PA";"FLORESTA DO ARAGUAIA";"FLORESTA DO ARAGUAIA (PA)";2015
"PA-GARRAFAO DO NORTE";0;0;0;59990.9599999981;0;0;0;59990.9599999981;"PA";"GARRAFAO DO NORTE";"GARRAFAO DO NORTE (PA)";2015
"PA-GOIANESIA DO PARA";0;0;0;0;0;0;0;0;"PA";"GOIANESIA DO PARA";"GOIANESIA DO PARA (PA)";2015
"PA-GURUPA";0;0;0;0;0;0;0;0;"PA";"GURUPA";"GURUPA (PA)";2015
"PA-IGARAPE-ACU";0;0;0;369536.089999999;0;0;0;369536.089999999;"PA";"IGARAPE-ACU";"IGARAPE-ACU (PA)";2015
