"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2003;"1600204";"CALCOENE (AP)";0;0;0;0
2003;"1600212";"CUTIAS (AP)";0;0;0;0
2003;"1600238";"FERREIRA GOMES (AP)";0;0;0;0
2003;"1600253";"ITAUBAL (AP)";0;0;0;0
2003;"1600279";"LARANJAL DO JARI (AP)";0;0;0;0
2003;"1600303";"MACAPA (AP)";0;0;0;0
2003;"1600402";"MAZAGAO (AP)";0;0;0;0
2003;"1600501";"OIAPOQUE (AP)";0;0;0;0
2003;"1600535";"PORTO GRANDE (AP)";0;0;0;0
2003;"1600550";"PRACUUBA (AP)";0;0;0;0
2003;"1600600";"SANTANA (AP)";0;0;0;0
2003;"1600709";"TARTARUGALZINHO (AP)";0;0;0;0
2003;"1600808";"VITORIA DO JARI (AP)";0;0;0;0
2003;"1700251";"ABREULANDIA (TO)";0;0;0;0
2003;"1700301";"AGUIARNOPOLIS (TO)";0;0;0;0
2003;"1700350";"ALIANCA DO TOCANTINS (TO)";0;0;0;1534
2003;"1700400";"ALMAS (TO)";0;0;0;397
2003;"1700707";"ALVORADA (TO)";0;0;0;3596
2003;"1701002";"ANANAS (TO)";0;0;0;0
2003;"1701051";"ANGICO (TO)";0;0;0;0
2003;"1701101";"APARECIDA DO RIO NEGRO (TO)";0;0;0;2242
2003;"1701309";"ARAGOMINAS (TO)";0;0;0;0
2003;"1701903";"ARAGUACEMA (TO)";0;0;0;0
2003;"1702000";"ARAGUACU (TO)";0;0;0;177
2003;"1702109";"ARAGUAINA (TO)";0;0;0;1433
2003;"1702158";"ARAGUANA (TO)";0;0;0;0
2003;"1702208";"ARAGUATINS (TO)";0;0;0;0
2003;"1702307";"ARAPOEMA (TO)";0;0;0;0
2003;"1702406";"ARRAIAS (TO)";0;0;0;0
2003;"1702554";"AUGUSTINOPOLIS (TO)";0;0;0;0
2003;"1702703";"AURORA DO TOCANTINS (TO)";0;0;0;0
2003;"1702901";"AXIXA DO TOCANTINS (TO)";0;0;0;0
2003;"1703008";"BABACULANDIA (TO)";0;0;0;0
2003;"1703057";"BANDEIRANTES DO TOCANTINS (TO)";0;0;0;0
2003;"1703073";"BARRA DO OURO (TO)";0;0;0;100
2003;"1703107";"BARROLANDIA (TO)";0;0;0;0
2003;"1703206";"BERNARDO SAYAO (TO)";0;0;0;0
2003;"1703305";"BOM JESUS DO TOCANTINS (TO)";0;0;0;5071
2003;"1703602";"BRASILANDIA DO TOCANTINS (TO)";0;0;0;0
2003;"1703701";"BREJINHO DE NAZARE (TO)";0;0;0;4022
2003;"1703800";"BURITI DO TOCANTINS (TO)";0;0;0;0
2003;"1703826";"CACHOEIRINHA (TO)";0;0;0;0
2003;"1703842";"CAMPOS LINDOS (TO)";0;0;0;35035
2003;"1703867";"CARIRI DO TOCANTINS (TO)";0;0;0;455
2003;"1703883";"CARMOLANDIA (TO)";0;0;0;0
2003;"1703891";"CARRASCO BONITO (TO)";0;0;0;0
2003;"1703909";"CASEARA (TO)";0;0;0;0
2003;"1704105";"CENTENARIO (TO)";0;0;0;0
