"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2006;"1507201";"SAO DOMINGOS DO CAPIM (PA)";0;0;0;0
2006;"1507300";"SAO FELIX DO XINGU (PA)";0;0;0;0
2006;"1507409";"SAO FRANCISCO DO PARA (PA)";2853;0;0;0
2006;"1507458";"SAO GERALDO DO ARAGUAIA (PA)";0;0;0;0
2006;"1507466";"SAO JOAO DA PONTA (PA)";0;0;0;0
2006;"1507474";"SAO JOAO DE PIRABAS (PA)";0;0;0;0
2006;"1507508";"SAO JOAO DO ARAGUAIA (PA)";0;0;0;0
2006;"1507607";"SAO MIGUEL DO GUAMA (PA)";0;0;0;0
2006;"1507706";"SAO SEBASTIAO DA BOA VISTA (PA)";0;0;0;0
2006;"1507755";"SAPUCAIA (PA)";0;0;0;0
2006;"1507805";"SENADOR JOSE PORFIRIO (PA)";0;0;0;0
2006;"1507904";"SOURE (PA)";0;0;0;0
2006;"1507953";"TAILANDIA (PA)";464735;0;0;0
2006;"1507961";"TERRA ALTA (PA)";0;0;0;0
2006;"1507979";"TERRA SANTA (PA)";0;0;0;0
2006;"1508001";"TOME ACU (PA)";37500;0;0;0
2006;"1508035";"TRACUATEUA (PA)";0;0;0;0
2006;"1508050";"TRAIRAO (PA)";0;0;0;270
2006;"1508084";"TUCUMA (PA)";0;0;0;0
2006;"1508100";"TUCURUI (PA)";0;0;0;0
2006;"1508126";"ULIANOPOLIS (PA)";0;0;0;18751
2006;"1508159";"URUARA (PA)";0;0;0;702
2006;"1508209";"VIGIA (PA)";1625;0;0;0
2006;"1508308";"VISEU (PA)";0;0;0;0
2006;"1508357";"VITORIA DO XINGU (PA)";0;0;0;0
2006;"1508407";"XINGUARA (PA)";0;0;0;0
2006;"1600055";"SERRA DO NAVIO (AP)";0;0;0;0
2006;"1600105";"AMAPA (AP)";0;0;0;0
