"ano";"cod_mun";"amc";"cod_uf";"uf";"semiarido";"chave";"q.dende";"q.girassol";"q.mamona";"q.soja";"h.dende";"h.girassol";"h.mamona";"h.soja";"v.dende";"v.girassol";"v.mamona";"v.soja";"s.dende";"s.girassol";"s.mamona";"s.soja";"d.bio";"total.contratos";"valores.totais";"vaba";"vabi";"vabs";"vabadm";"vabt";"t";"pib";"pib.per.capta"
2012;"3302700";"12032";33;"RJ";"0";"MARICA (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1616;3;50591.7141391977;4604.21727790728;3140395.06080675;1377682.75633419;482642.415281727;5005324.45043331;102224.329700284;5107548.7801336;37799.8179242382
2012;"3302809";"12033";33;"RJ";"0";"MENDES (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;297;2;11077.6198214569;337.904191491439;13856.8848190039;56481.9977521509;71419.0182633724;142095.805026019;9727.93234550469;151823.737371523;8423.42088417276
2012;"3302908";"12034";33;"RJ";"0";"MIGUEL PEREIRA (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;440;2;17900.6312578563;5682.44126573998;25404.759006163;215679.322552056;101251.544745634;348018.067569593;15768.1063318119;363786.173901405;14696.0534341782
2012;"3303005";"12035";33;"RJ";"0";"MIRACEMA (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289;69;2198178.16694585;9517.10923422951;21283.6460593842;87045.9860030388;101327.691983305;219174.433279958;9292.05055653458;228466.483836492;8521.68791179019
2012;"3303104";"12036";33;"RJ";"0";"NATIVIDADE (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;119;3231044.99352815;11651.1619117658;9110.09425474427;50782.5958802797;59334.3757336864;130878.227780476;8335.23261999487;139213.460400471;9234.11103916232
2012;"3303302";"12038";33;"RJ";"0";"NITEROI (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6365;7;252921.428382739;7208.54630318156;3155101.42967762;6353220.09004218;1896999.08138741;11412529.1474104;1556746.63473552;12969275.7821459;26370.661385387
2012;"3303401";"12039";33;"RJ";"0";"NOVA FRIBURGO (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3982;160;2870146.88910716;55222.6901493514;420541.143109335;1149976.70658958;656765.33652882;2282505.87637709;226057.586100987;2508563.46247808;13678.7687788775
2012;"3303500";"12008";33;"RJ";"0";"NOVA IGUACU (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8557;126;3545747.88623644;4289.14216338585;1044062.46355785;4147434.57796593;2610803.05870226;7806589.24312216;856189.693153476;8662778.93627564;10804.8887026031
2012;"3303609";"12040";33;"RJ";"0";"PARACAMBI (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;903;3;25457.3664143713;1995.73218238733;29834.064492037;163590.342340989;174712.448673875;370132.588422023;28478.200796744;398610.789218767;8282.13501238696
2012;"3303708";"12041";33;"RJ";"0";"PARAIBA DO SUL (RJ)";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;769;122;5429819.92878339;21206.6451859875;60144.4386679196;219248.989750967;152839.708233815;453439.782571423;52304.5617003698;505744.344271793;12145.9321093226
