"ano";"chave";"Estado";"Mun";"Município";"PRODUTOR.DA.CULTURA.DE.DENDE";"TRABALHADOR.NA.CULTURA.DE.DENDE";"PRODUTOR.DA.CULTURA.DE.GIRASSOL";"TRABALHADOR.NA.CULTURA.DO.GIRASSOL";"PRODUTOR.DA.CULTURA.DE.MAMONA";"TRABALHADOR.NA.CULTURA.DE.MAMONA";"PRODUTOR.DA.CULTURA.DE.SOJA";"TRABALHADOR.NA.CULTURA.DE.SOJA";"Total"
2016;"PELOTAS (RS)";"RS";"PELOTAS";"RS-PELOTAS";0;0;0;0;0;0;0;1317.33000000007;1317.33000000007
2016;"PICADA CAFE (RS)";"RS";"PICADA CAFE";"RS-PICADA CAFE";0;0;0;0;0;0;0;0;0
2016;"PINHAL (RS)";"RS";"PINHAL";"RS-PINHAL";0;0;0;0;0;0;0;0;0
2016;"PINHAL DA SERRA (RS)";"RS";"PINHAL DA SERRA";"RS-PINHAL DA SERRA";0;0;0;0;0;0;0;0;0
2016;"PINHAL GRANDE (RS)";"RS";"PINHAL GRANDE";"RS-PINHAL GRANDE";0;0;0;0;0;0;0;0;0
2016;"PINHEIRINHO DO VALE (RS)";"RS";"PINHEIRINHO DO VALE";"RS-PINHEIRINHO DO VALE";0;0;0;0;0;0;0;0;0
2016;"PINHEIRO MACHADO (RS)";"RS";"PINHEIRO MACHADO";"RS-PINHEIRO MACHADO";0;0;0;0;0;0;0;0;0
2016;"PINTO BANDEIRA (RS)";"RS";"PINTO BANDEIRA";"RS-PINTO BANDEIRA";0;0;0;0;0;0;0;0;0
2016;"  PINTO BANDEIRA (RS)";"RS";"  PINTO BANDEIRA";"RS - PINTO BANDEIRA";0;0;0;0;0;0;0;0;0
2016;"PIRAPO (RS)";"RS";"PIRAPO";"RS-PIRAPO";0;0;0;0;0;0;0;2595.6799999997;2595.6799999997
2016;"PIRATINI (RS)";"RS";"PIRATINI";"RS-PIRATINI";0;0;0;0;0;0;0;2492.3900000006;2492.3900000006
2016;"PLANALTO (RS)";"RS";"PLANALTO";"RS-PLANALTO";0;0;0;0;0;0;0;0;0
2016;"POCO DAS ANTAS (RS)";"RS";"POCO DAS ANTAS";"RS-POCO DAS ANTAS";0;0;0;0;0;0;0;0;0
2016;"PONTAO (RS)";"RS";"PONTAO";"RS-PONTAO";0;0;0;0;0;0;0;14051.6500000022;14051.6500000022
2016;"PONTE PRETA (RS)";"RS";"PONTE PRETA";"RS-PONTE PRETA";0;0;0;0;0;0;0;0;0
2016;"PORTAO (RS)";"RS";"PORTAO";"RS-PORTAO";0;0;0;0;0;0;0;0;0
2016;"PORTO ALEGRE (RS)";"RS";"PORTO ALEGRE";"RS-PORTO ALEGRE";0;0;0;0;0;0;0;7118.74000000209;7118.74000000209
2016;"PORTO LUCENA (RS)";"RS";"PORTO LUCENA";"RS-PORTO LUCENA";0;0;0;0;0;0;0;0;0
2016;"PORTO MAUA (RS)";"RS";"PORTO MAUA";"RS-PORTO MAUA";0;0;0;0;0;0;0;0;0
2016;"PORTO VERA CRUZ (RS)";"RS";"PORTO VERA CRUZ";"RS-PORTO VERA CRUZ";0;0;0;0;0;0;0;0;0
2016;"PORTO XAVIER (RS)";"RS";"PORTO XAVIER";"RS-PORTO XAVIER";0;0;0;0;0;0;0;0;0
2016;"POUSO NOVO (RS)";"RS";"POUSO NOVO";"RS-POUSO NOVO";0;0;0;0;0;0;0;0;0
2016;"PRESIDENTE LUCENA (RS)";"RS";"PRESIDENTE LUCENA";"RS-PRESIDENTE LUCENA";0;0;0;0;0;0;0;0;0
2016;"PROGRESSO (RS)";"RS";"PROGRESSO";"RS-PROGRESSO";0;0;0;0;0;0;0;0;0
2016;"PROTASIO ALVES (RS)";"RS";"PROTASIO ALVES";"RS-PROTASIO ALVES";0;0;0;0;0;0;0;0;0
2016;"PUTINGA (RS)";"RS";"PUTINGA";"RS-PUTINGA";0;0;0;0;0;0;0;0;0
2016;"QUARAI (RS)";"RS";"QUARAI";"RS-QUARAI";0;0;0;0;0;0;0;0;0
2016;"QUATRO IRMAOS (RS)";"RS";"QUATRO IRMAOS";"RS-QUATRO IRMAOS";0;0;0;0;0;0;0;5154.45999999903;5154.45999999903
2016;"QUEVEDOS (RS)";"RS";"QUEVEDOS";"RS-QUEVEDOS";0;0;0;0;0;0;0;0;0
2016;"QUINZE DE NOVEMBRO (RS)";"RS";"QUINZE DE NOVEMBRO";"RS-QUINZE DE NOVEMBRO";0;0;0;0;0;0;0;0;0
2016;"REDENTORA (RS)";"RS";"REDENTORA";"RS-REDENTORA";0;0;0;0;0;0;0;0;0
2016;"RELVADO (RS)";"RS";"RELVADO";"RS-RELVADO";0;0;0;0;0;0;0;0;0
2016;"RESTINGA SECA (RS)";"RS";"RESTINGA SECA";"RS-RESTINGA SECA";0;0;0;0;0;0;0;0;0
2016;"RIO DOS INDIOS (RS)";"RS";"RIO DOS INDIOS";"RS-RIO DOS INDIOS";0;0;0;0;0;0;0;0;0
2016;"RIO GRANDE (RS)";"RS";"RIO GRANDE";"RS-RIO GRANDE";0;0;0;0;0;0;0;0;0
2016;"RIO PARDO (RS)";"RS";"RIO PARDO";"RS-RIO PARDO";0;0;0;0;0;0;0;4677.07999999821;4677.07999999821
2016;"RIOZINHO (RS)";"RS";"RIOZINHO";"RS-RIOZINHO";0;0;0;0;0;0;0;0;0
2016;"ROCA SALES (RS)";"RS";"ROCA SALES";"RS-ROCA SALES";0;0;0;0;0;0;0;0;0
2016;"RODEIO BONITO (RS)";"RS";"RODEIO BONITO";"RS-RODEIO BONITO";0;0;0;0;0;0;0;0;0
2016;"ROLADOR (RS)";"RS";"ROLADOR";"RS-ROLADOR";0;0;0;0;0;0;0;0;0
2016;"ROLANTE (RS)";"RS";"ROLANTE";"RS-ROLANTE";0;0;0;0;0;0;0;0;0
2016;"RONDA ALTA (RS)";"RS";"RONDA ALTA";"RS-RONDA ALTA";0;0;0;0;0;0;0;0;0
2016;"RONDINHA (RS)";"RS";"RONDINHA";"RS-RONDINHA";0;0;0;0;0;0;0;0;0
2016;"ROQUE GONZALES (RS)";"RS";"ROQUE GONZALES";"RS-ROQUE GONZALES";0;0;0;0;0;0;0;0;0
2016;"ROSARIO DO SUL (RS)";"RS";"ROSARIO DO SUL";"RS-ROSARIO DO SUL";0;0;0;0;0;0;0;0;0
2016;"SAGRADA FAMILIA (RS)";"RS";"SAGRADA FAMILIA";"RS-SAGRADA FAMILIA";0;0;0;0;0;0;0;0;0
2016;"SALDANHA MARINHO (RS)";"RS";"SALDANHA MARINHO";"RS-SALDANHA MARINHO";0;0;0;0;0;0;0;1304.33999999985;1304.33999999985
2016;"SALTO DO JACUI (RS)";"RS";"SALTO DO JACUI";"RS-SALTO DO JACUI";0;0;0;0;0;0;0;0;0
2016;"SALVADOR DAS MISSOES (RS)";"RS";"SALVADOR DAS MISSOES";"RS-SALVADOR DAS MISSOES";0;0;0;0;0;0;0;0;0
2016;"SALVADOR DO SUL (RS)";"RS";"SALVADOR DO SUL";"RS-SALVADOR DO SUL";0;0;0;0;0;0;0;0;0
2016;"SANANDUVA (RS)";"RS";"SANANDUVA";"RS-SANANDUVA";0;0;0;0;0;0;3502.8200000003;0;3502.8200000003
2016;"SANTA BARBARA DO SUL (RS)";"RS";"SANTA BARBARA DO SUL";"RS-SANTA BARBARA DO SUL";0;0;0;0;0;0;0;11595.1499999985;11595.1499999985
2016;"SANTA CECILIA DO SUL (RS)";"RS";"SANTA CECILIA DO SUL";"RS-SANTA CECILIA DO SUL";0;0;0;0;0;0;0;0;0
2016;"SANTA CLARA DO SUL (RS)";"RS";"SANTA CLARA DO SUL";"RS-SANTA CLARA DO SUL";0;0;0;0;0;0;0;0;0
2016;"SANTA CRUZ DO SUL (RS)";"RS";"SANTA CRUZ DO SUL";"RS-SANTA CRUZ DO SUL";0;0;0;0;0;0;0;0;0
2016;"SANTA MARIA (RS)";"RS";"SANTA MARIA";"RS-SANTA MARIA";0;0;0;0;0;0;0;12419.4500000011;12419.4500000011
2016;"SANTA MARIA DO HERVAL (RS)";"RS";"SANTA MARIA DO HERVAL";"RS-SANTA MARIA DO HERVAL";0;0;0;0;0;0;0;0;0
2016;"SANTA MARGARIDA DO SUL (RS)";"RS";"SANTA MARGARIDA DO SUL";"RS-SANTA MARGARIDA DO SUL";0;0;0;0;0;0;0;1194.34999999963;1194.34999999963
2016;"SANTANA DA BOA VISTA (RS)";"RS";"SANTANA DA BOA VISTA";"RS-SANTANA DA BOA VISTA";0;0;0;0;0;0;0;0;0
2016;"SANT ANA DO LIVRAMENTO (RS)";"RS";"SANT ANA DO LIVRAMENTO";"RS-SANT ANA DO LIVRAMENTO";0;0;0;0;0;0;0;0;0
2016;"SANTA ROSA (RS)";"RS";"SANTA ROSA";"RS-SANTA ROSA";0;0;0;0;0;0;0;0;0
2016;"SANTA TEREZA (RS)";"RS";"SANTA TEREZA";"RS-SANTA TEREZA";0;0;0;0;0;0;0;0;0
2016;"SANTA VITORIA DO PALMAR (RS)";"RS";"SANTA VITORIA DO PALMAR";"RS-SANTA VITORIA DO PALMAR";0;0;0;0;0;0;0;0;0
2016;"SANTIAGO (RS)";"RS";"SANTIAGO";"RS-SANTIAGO";0;0;0;0;0;0;0;0;0
2016;"SANTO ANGELO (RS)";"RS";"SANTO ANGELO";"RS-SANTO ANGELO";0;0;0;0;0;0;2458.65000000037;4312.32999999821;6770.97999999858
2016;"SANTO ANTONIO DO PALMA (RS)";"RS";"SANTO ANTONIO DO PALMA";"RS-SANTO ANTONIO DO PALMA";0;0;0;0;0;0;0;0;0
2016;"SANTO ANTONIO DA PATRULHA (RS)";"RS";"SANTO ANTONIO DA PATRULHA";"RS-SANTO ANTONIO DA PATRULHA";0;0;0;0;0;0;0;0;0
2016;"SANTO ANTONIO DAS MISSOES (RS)";"RS";"SANTO ANTONIO DAS MISSOES";"RS-SANTO ANTONIO DAS MISSOES";0;0;0;0;0;0;0;4735.83999999985;4735.83999999985
2016;"SANTO ANTONIO DO PLANALTO (RS)";"RS";"SANTO ANTONIO DO PLANALTO";"RS-SANTO ANTONIO DO PLANALTO";0;0;0;0;0;0;0;0;0
2016;"SANTO AUGUSTO (RS)";"RS";"SANTO AUGUSTO";"RS-SANTO AUGUSTO";0;0;0;0;0;0;0;0;0
2016;"SANTO CRISTO (RS)";"RS";"SANTO CRISTO";"RS-SANTO CRISTO";0;0;0;0;0;0;0;0;0
2016;"SANTO EXPEDITO DO SUL (RS)";"RS";"SANTO EXPEDITO DO SUL";"RS-SANTO EXPEDITO DO SUL";0;0;0;0;0;0;0;0;0
2016;"SAO BORJA (RS)";"RS";"SAO BORJA";"RS-SAO BORJA";0;0;0;0;0;0;0;2801.6099999994;2801.6099999994
2016;"SAO DOMINGOS DO SUL (RS)";"RS";"SAO DOMINGOS DO SUL";"RS-SAO DOMINGOS DO SUL";0;0;0;0;0;0;0;0;0
2016;"SAO FRANCISCO DE ASSIS (RS)";"RS";"SAO FRANCISCO DE ASSIS";"RS-SAO FRANCISCO DE ASSIS";0;0;0;0;0;0;0;2208;2208
2016;"SAO FRANCISCO DE PAULA (RS)";"RS";"SAO FRANCISCO DE PAULA";"RS-SAO FRANCISCO DE PAULA";0;0;0;0;0;0;0;0;0
2016;"SAO GABRIEL (RS)";"RS";"SAO GABRIEL";"RS-SAO GABRIEL";0;0;0;0;0;0;2126.1799999997;7453.31999999844;9579.49999999814
2016;"SAO JERONIMO (RS)";"RS";"SAO JERONIMO";"RS-SAO JERONIMO";0;0;0;0;0;0;0;0;0
2016;"SAO JOAO DA URTIGA (RS)";"RS";"SAO JOAO DA URTIGA";"RS-SAO JOAO DA URTIGA";0;0;0;0;0;0;0;0;0
2016;"SAO JOAO DO POLESINE (RS)";"RS";"SAO JOAO DO POLESINE";"RS-SAO JOAO DO POLESINE";0;0;0;0;0;0;0;0;0
2016;"SAO JORGE (RS)";"RS";"SAO JORGE";"RS-SAO JORGE";0;0;0;0;0;0;0;0;0
2016;"SAO JOSE DAS MISSOES (RS)";"RS";"SAO JOSE DAS MISSOES";"RS-SAO JOSE DAS MISSOES";0;0;0;0;0;0;0;0;0
2016;"SAO JOSE DO HERVAL (RS)";"RS";"SAO JOSE DO HERVAL";"RS-SAO JOSE DO HERVAL";0;0;0;0;0;0;0;0;0
2016;"SAO JOSE DO HORTENCIO (RS)";"RS";"SAO JOSE DO HORTENCIO";"RS-SAO JOSE DO HORTENCIO";0;0;0;0;0;0;0;0;0
2016;"SAO JOSE DO INHACORA (RS)";"RS";"SAO JOSE DO INHACORA";"RS-SAO JOSE DO INHACORA";0;0;0;0;0;0;0;0;0
2016;"SAO JOSE DO NORTE (RS)";"RS";"SAO JOSE DO NORTE";"RS-SAO JOSE DO NORTE";0;0;0;0;0;0;0;0;0
2016;"SAO JOSE DO OURO (RS)";"RS";"SAO JOSE DO OURO";"RS-SAO JOSE DO OURO";0;0;0;0;0;0;0;8209.62000000291;8209.62000000291
2016;"SAO JOSE DO SUL (RS)";"RS";"SAO JOSE DO SUL";"RS-SAO JOSE DO SUL";0;0;0;0;0;0;0;0;0
2016;"SAO JOSE DOS AUSENTES (RS)";"RS";"SAO JOSE DOS AUSENTES";"RS-SAO JOSE DOS AUSENTES";0;0;0;0;0;0;0;0;0
2016;"SAO LEOPOLDO (RS)";"RS";"SAO LEOPOLDO";"RS-SAO LEOPOLDO";0;0;0;0;0;0;0;0;0
2016;"SAO LOURENCO DO SUL (RS)";"RS";"SAO LOURENCO DO SUL";"RS-SAO LOURENCO DO SUL";0;0;0;0;0;0;0;0;0
2016;"SAO LUIZ GONZAGA (RS)";"RS";"SAO LUIZ GONZAGA";"RS-SAO LUIZ GONZAGA";0;0;0;0;0;0;0;0;0
2016;"SAO MARCOS (RS)";"RS";"SAO MARCOS";"RS-SAO MARCOS";0;0;0;0;0;0;0;0;0
2016;"SAO MARTINHO (RS)";"RS";"SAO MARTINHO";"RS-SAO MARTINHO";0;0;0;0;0;0;0;0;0
